Site_Name,Date,Commodity,Production_Tons,Operational_Cost_AUD,Safety_Incidents,Equipment_Uptime_Pct,Revenue_AUD
Greenbushes Lithium,2025-05-25,Iron Ore,22691.62,162761.05,0,96.77,3216940.08
Pilbara Iron,2026-02-04,Coal,15661.58,479026.05,0,89.53,2220307.07
Greenbushes Lithium,2026-01-31,Lithium,9363.46,406739.56,1,96.74,1327436.73
Olympic Dam,2025-05-16,Coal,13056.42,207314.88,0,86.45,1850979.38
Kalgoorlie Gold,2025-01-03,Lithium,40888.13,336321.81,0,96.73,5796618.5
Kalgoorlie Gold,2025-05-24,Gold,35489.56,388579.66,0,87.14,5031275.33
Pilbara Iron,2025-01-30,Iron Ore,29611.8,476511.57,0,86.16,4197998.48
Hunter Coal,2025-08-25,Coal,26379.04,452654.14,0,93.98,3739697.34
Pilbara Iron,2025-10-06,Lithium,46509.54,306076.89,0,91.61,6593553.19
Hunter Coal,2025-12-14,Copper,8273.07,409861.05,1,97.71,1172854.58
Kalgoorlie Gold,2025-04-25,Iron Ore,17627.04,324857.9,0,90.08,2498945.93
Pilbara Iron,2025-04-14,Gold,20747.2,321081.56,0,89.02,2941284.02
Olympic Dam,2025-04-28,Lithium,40209.16,145896.78,0,92.01,5700362.44
Greenbushes Lithium,2025-01-05,Gold,49663.16,150455.06,0,91.38,7040634.82
Hunter Coal,2025-12-26,Gold,15830.17,311813.45,0,89.82,2244207.7
Greenbushes Lithium,2025-09-05,Coal,44343.83,207544.62,0,94.71,6286525.34
Greenbushes Lithium,2025-12-30,Coal,42378.02,108414.76,0,95.63,6007836.86
Pilbara Iron,2025-11-17,Lithium,15109.58,389135.68,0,96.94,2142051.27
Greenbushes Lithium,2025-05-01,Copper,22969.97,112994.64,0,98.62,3256401.14
Olympic Dam,2025-10-13,Lithium,23435.28,338110.74,0,88.73,3322367.09
Greenbushes Lithium,2025-05-29,Copper,49019.93,315677.52,0,95.03,6949445.55
Pilbara Iron,2025-03-25,Gold,13140.14,487525.88,0,90.52,1862848.18
Olympic Dam,2026-02-10,Iron Ore,40962.11,293685.26,0,94.48,5807106.47
Kalgoorlie Gold,2025-08-19,Lithium,20038.67,125440.57,0,91.66,2840837.31
Greenbushes Lithium,2025-10-15,Lithium,37889.17,320675.19,0,98.91,5371462.66
Pilbara Iron,2025-06-10,Copper,23900.5,436438.47,0,95.2,3388320.29
Kalgoorlie Gold,2025-09-29,Gold,31026.19,498739.71,0,98.33,4398513.38
Kalgoorlie Gold,2025-02-07,Gold,42467.53,272137.27,0,96.69,6020526.49
Hunter Coal,2025-08-14,Copper,41187.45,228119.5,0,97.64,5839052.42
Olympic Dam,2025-05-22,Gold,43989.04,462661.32,0,96.4,6236227.55
Greenbushes Lithium,2025-10-19,Coal,7682.78,176496.85,0,91.43,1089170.49
Pilbara Iron,2025-05-31,Iron Ore,36142.27,346171.57,0,88.53,5123808.57
Hunter Coal,2025-04-24,Lithium,11299.43,262285.77,0,90.18,1601894.85
Olympic Dam,2025-08-25,Iron Ore,23711.84,116432.95,1,85.28,3361574.38
Hunter Coal,2025-03-07,Lithium,29686.48,238915.39,0,92.34,4208585.7
Olympic Dam,2025-12-27,Coal,23123.28,206091.41,1,92.07,3278135.55
Olympic Dam,2025-12-07,Gold,28382.53,374436.46,0,92.35,4023727.63
Greenbushes Lithium,2025-09-15,Copper,49843.68,479516.2,0,98.64,7066226.74
Olympic Dam,2025-09-06,Coal,11084.78,207218.87,0,97.76,1571464.4
Hunter Coal,2026-03-25,Iron Ore,35395.52,424586.38,2,87.26,5017943.49
Olympic Dam,2025-11-27,Copper,22820.04,122143.93,0,90.16,3235145.9
Greenbushes Lithium,2025-11-19,Gold,10985.44,315248.4,0,90.94,1557381.19
Greenbushes Lithium,2025-06-29,Coal,12143.15,128220.03,0,90.05,1721507.14
Hunter Coal,2025-07-09,Copper,47717.29,473613.2,0,96.18,6764773.19
Kalgoorlie Gold,2026-02-11,Coal,44582.07,406540.51,0,92.34,6320300.09
Kalgoorlie Gold,2025-06-03,Coal,45816.89,363179.96,0,93.01,6495357.75
Olympic Dam,2025-07-15,Gold,49618.97,429558.55,0,96.94,7034370.1
Pilbara Iron,2025-11-07,Lithium,14374.19,359007.92,0,96.28,2037796.68
Olympic Dam,2025-09-19,Copper,20994.77,487577.76,0,86.85,2976381.46
Hunter Coal,2026-02-23,Gold,35114.86,385583.18,0,94.99,4978154.95
Hunter Coal,2026-02-10,Coal,26771.11,469863.44,0,91.1,3795280.23
Hunter Coal,2026-03-03,Gold,23827.53,306852.76,0,89.13,3377975.49
Hunter Coal,2025-05-23,Lithium,21101.51,146825.77,0,85.7,2991513.75
Hunter Coal,2025-12-08,Copper,31720.13,311271.09,0,91.82,4496891.7
Greenbushes Lithium,2025-11-12,Lithium,30901.7,150749.13,1,89.98,4380864.71
Kalgoorlie Gold,2025-04-11,Iron Ore,12265.6,336997.39,0,88.52,1738866.61
Hunter Coal,2025-09-01,Copper,26228.29,292997.22,0,94.73,3718325.85
Pilbara Iron,2025-01-12,Lithium,29906.23,349030.16,0,95.77,4239739.16
Pilbara Iron,2025-08-27,Coal,30662.91,104018.79,0,88.43,4347011.99
Pilbara Iron,2025-02-18,Copper,14454.82,177936.2,0,85.69,2049227.42
Pilbara Iron,2025-02-11,Copper,38402.21,296532.17,0,96.88,5444195.19
Greenbushes Lithium,2025-06-15,Gold,6133.96,480201.42,0,85.14,869597.75
Pilbara Iron,2025-03-23,Coal,20967.43,253443.62,0,98.12,2972505.53
Hunter Coal,2026-03-05,Iron Ore,40109.57,269748.81,0,93.79,5686243.79
Olympic Dam,2025-10-18,Lithium,30375.18,385878.44,0,89.51,4306221.15
Pilbara Iron,2025-06-07,Gold,16752.31,341517.1,0,88.45,2374937.42
Greenbushes Lithium,2025-08-04,Lithium,36272.89,219570.46,0,85.13,5142326.27
Greenbushes Lithium,2025-06-07,Iron Ore,30532.59,264326.56,0,88.3,4328536.81
Pilbara Iron,2025-05-14,Iron Ore,40830.96,187079.92,0,86.93,5788513.63
Olympic Dam,2025-03-08,Copper,38076.13,486408.58,0,93.57,5397967.56
Pilbara Iron,2025-12-02,Iron Ore,32454.86,152253.75,1,87.33,4601052.72
Greenbushes Lithium,2025-01-07,Lithium,26968.0,248734.71,2,92.4,3823192.88
Kalgoorlie Gold,2026-03-12,Coal,10993.2,110335.59,0,93.26,1558481.31
Hunter Coal,2025-01-14,Coal,16759.99,188711.8,0,89.17,2376026.2
Greenbushes Lithium,2025-03-14,Copper,23859.48,412188.46,0,85.49,3382504.97
Pilbara Iron,2026-02-03,Lithium,31968.47,180470.09,0,85.52,4532098.3
Hunter Coal,2026-02-09,Lithium,28116.85,132025.36,0,85.37,3986062.77
Pilbara Iron,2025-06-12,Iron Ore,17968.3,289781.27,0,95.35,2547325.6
Pilbara Iron,2025-03-07,Lithium,5290.9,103987.69,1,89.45,750079.03
Kalgoorlie Gold,2025-12-13,Gold,27330.76,133906.46,0,96.15,3874620.55
Hunter Coal,2025-05-10,Iron Ore,17853.17,423050.35,0,91.04,2531003.87
Hunter Coal,2026-02-23,Gold,38057.37,408589.34,0,91.34,5395308.0
Kalgoorlie Gold,2025-07-25,Copper,6077.58,466055.53,0,92.18,861604.89
Greenbushes Lithium,2025-10-03,Coal,31317.25,441806.17,0,94.98,4439776.3
Pilbara Iron,2025-09-13,Copper,47366.34,373270.23,0,88.83,6715019.8
Olympic Dam,2025-09-23,Coal,12848.42,120933.14,0,86.7,1821491.69
Pilbara Iron,2025-01-25,Copper,26224.23,413139.45,0,92.78,3717750.28
Pilbara Iron,2026-03-26,Lithium,9113.99,438204.32,0,89.58,1292069.92
Greenbushes Lithium,2025-10-08,Gold,33155.69,419632.86,0,91.19,4700407.82
Pilbara Iron,2025-09-10,Coal,29773.93,303391.61,0,94.06,4220983.29
Kalgoorlie Gold,2025-11-06,Iron Ore,23331.45,193160.74,0,91.92,3307647.34
Kalgoorlie Gold,2025-10-16,Gold,28461.97,438131.99,1,93.68,4034989.66
Hunter Coal,2025-06-13,Iron Ore,45345.86,390865.12,0,92.62,6428580.88
Olympic Dam,2025-04-05,Gold,13833.24,492304.47,0,95.36,1961107.41
Pilbara Iron,2025-09-27,Gold,6015.4,162277.04,0,94.88,852789.77
Pilbara Iron,2025-11-17,Copper,43774.92,190265.83,0,92.48,6205872.24
Greenbushes Lithium,2025-04-20,Coal,30970.27,184719.26,0,94.5,4390585.73
Kalgoorlie Gold,2025-12-02,Coal,45079.63,417015.91,0,97.23,6390838.05
Olympic Dam,2025-11-06,Gold,31862.54,174762.92,0,91.05,4517080.84
Hunter Coal,2025-08-26,Lithium,41457.25,126663.93,0,90.78,5877301.36
Kalgoorlie Gold,2026-01-16,Lithium,24335.3,499424.32,0,95.7,3449960.91
Hunter Coal,2026-03-12,Iron Ore,38743.7,109926.88,0,93.16,5492607.46
Greenbushes Lithium,2026-01-22,Iron Ore,46086.87,434097.62,0,85.99,6533632.21
Greenbushes Lithium,2026-03-01,Copper,30745.53,246146.74,0,97.49,4358724.84
Pilbara Iron,2026-01-25,Gold,13135.33,436646.18,0,85.43,1862166.28
Olympic Dam,2025-01-25,Iron Ore,17095.89,321848.2,0,95.48,2423645.99
Hunter Coal,2025-05-21,Iron Ore,13939.01,460652.49,0,95.62,1976102.19
Kalgoorlie Gold,2025-04-27,Gold,16108.57,470477.19,0,98.34,2283675.84
Greenbushes Lithium,2026-01-27,Copper,18788.7,103639.27,0,85.76,2663631.86
Pilbara Iron,2026-02-09,Iron Ore,29981.02,130164.87,0,93.36,4250341.97
Pilbara Iron,2025-01-25,Copper,31459.62,200143.49,0,90.99,4459959.78
Hunter Coal,2025-03-20,Coal,24192.49,367726.17,0,89.63,3429715.05
Greenbushes Lithium,2025-03-09,Copper,32693.94,455308.88,0,86.26,4634946.56
Olympic Dam,2025-06-22,Lithium,8670.87,283976.78,0,92.88,1229249.79
Greenbushes Lithium,2026-03-20,Lithium,8950.47,342789.25,0,91.71,1268888.06
Hunter Coal,2025-01-12,Copper,12732.33,175399.94,0,86.46,1805033.87
Hunter Coal,2025-10-15,Lithium,28313.49,421986.73,0,93.57,4013939.98
Greenbushes Lithium,2025-05-08,Coal,14629.76,486931.24,0,95.33,2074028.27
Hunter Coal,2025-04-06,Gold,17747.8,207439.57,0,95.74,2516065.81
Greenbushes Lithium,2025-04-02,Lithium,23014.08,297930.38,0,97.68,3262654.51
Kalgoorlie Gold,2025-05-21,Lithium,41533.98,134446.44,0,90.73,5888179.2
Greenbushes Lithium,2025-01-31,Copper,5623.8,323654.66,0,98.34,797273.51
Greenbushes Lithium,2025-11-30,Coal,34222.05,301113.38,0,97.12,4851583.28
Hunter Coal,2025-01-20,Gold,35099.44,157774.59,0,89.15,4975968.9
Hunter Coal,2025-05-26,Copper,40939.51,276826.49,0,87.23,5803902.52
Pilbara Iron,2025-11-12,Copper,46973.88,233641.86,0,91.1,6659381.63
Pilbara Iron,2026-03-23,Coal,5906.2,308732.35,0,90.63,837308.73
Kalgoorlie Gold,2026-01-25,Gold,11920.27,334261.73,0,93.06,1689909.95
Pilbara Iron,2025-06-09,Coal,44877.71,103398.23,0,93.17,6362212.31
Greenbushes Lithium,2025-12-15,Gold,25633.34,404402.39,0,95.5,3633981.13
Hunter Coal,2025-02-12,Coal,30406.58,385205.72,0,92.14,4310672.66
Pilbara Iron,2025-09-11,Copper,34836.22,246514.55,0,86.47,4938652.79
Pilbara Iron,2025-05-10,Copper,35558.0,121174.37,0,97.02,5040977.92
Kalgoorlie Gold,2025-03-01,Iron Ore,46928.32,401973.02,0,89.34,6652922.69
Kalgoorlie Gold,2025-05-31,Lithium,49862.72,482070.06,0,98.6,7068925.99
Greenbushes Lithium,2025-10-14,Coal,37407.09,196060.64,0,86.65,5303119.26
Hunter Coal,2025-01-05,Iron Ore,17924.95,229409.85,0,98.42,2541179.96
Kalgoorlie Gold,2026-02-22,Lithium,44588.86,173525.16,0,86.27,6321262.69
Pilbara Iron,2025-09-23,Coal,7214.94,330774.45,0,88.23,1022845.86
Hunter Coal,2025-12-11,Gold,15398.64,161936.56,0,85.65,2183030.66
Hunter Coal,2025-05-10,Lithium,45382.36,242477.58,0,94.87,6433755.4
Pilbara Iron,2026-01-17,Copper,16528.62,378805.21,0,96.9,2343225.39
Kalgoorlie Gold,2025-09-24,Iron Ore,14929.3,324046.39,0,91.08,2116493.38
Pilbara Iron,2025-06-27,Lithium,11215.64,254585.03,0,98.0,1590016.13
Hunter Coal,2025-09-10,Lithium,43660.03,268099.84,0,93.26,6189584.54
Olympic Dam,2026-02-19,Copper,27502.62,324844.35,0,93.82,3898984.76
Olympic Dam,2025-02-25,Coal,35370.19,102345.89,0,96.84,5014352.52
Greenbushes Lithium,2025-03-24,Gold,15757.99,131403.95,0,89.16,2233974.9
Pilbara Iron,2026-01-28,Copper,39111.82,452503.23,0,89.96,5544795.01
Pilbara Iron,2025-04-09,Gold,39200.25,131151.6,0,97.68,5557331.53
Greenbushes Lithium,2025-05-29,Coal,19066.91,382721.44,0,97.61,2703073.07
Greenbushes Lithium,2025-11-25,Lithium,23480.72,468015.27,0,98.67,3328809.02
Greenbushes Lithium,2025-06-05,Gold,14436.06,208273.44,0,97.63,2046567.85
Hunter Coal,2025-07-09,Iron Ore,48945.25,248196.57,0,86.78,6938858.33
Pilbara Iron,2026-01-06,Iron Ore,34052.12,327568.56,0,96.53,4827492.69
Hunter Coal,2025-09-20,Copper,47054.47,452683.59,0,90.74,6670806.69
Greenbushes Lithium,2025-03-21,Coal,18652.35,476762.23,0,98.87,2644301.83
Pilbara Iron,2026-02-04,Copper,40185.09,395825.3,0,91.61,5696950.09
Hunter Coal,2025-09-09,Copper,39463.64,134647.9,0,92.75,5594671.74
Hunter Coal,2025-04-07,Copper,36124.5,367661.66,0,92.42,5121289.35
Greenbushes Lithium,2025-09-17,Iron Ore,48453.75,264121.49,0,89.5,6869179.48
Pilbara Iron,2025-09-17,Iron Ore,22709.99,288280.4,0,86.05,3219544.35
Greenbushes Lithium,2025-04-13,Copper,10882.28,119659.36,0,97.54,1542756.43
Pilbara Iron,2025-02-09,Iron Ore,35226.9,176424.86,0,96.24,4994038.61
Olympic Dam,2025-09-30,Coal,37818.94,416205.44,0,86.95,5361506.31
Kalgoorlie Gold,2025-04-11,Copper,30877.73,281583.53,0,95.87,4377466.54
Kalgoorlie Gold,2025-12-25,Iron Ore,14306.81,220664.9,0,93.76,2028244.37
Kalgoorlie Gold,2026-01-15,Gold,27700.52,253607.63,0,90.73,3927040.6
Greenbushes Lithium,2025-11-04,Copper,19048.54,441759.81,0,88.56,2700468.8
Olympic Dam,2025-08-09,Copper,24235.99,399599.61,0,97.04,3435881.95
Pilbara Iron,2025-11-04,Coal,34034.84,208926.16,0,94.8,4825042.94
Hunter Coal,2026-02-24,Lithium,38534.66,147000.74,0,92.67,5462972.33
Pilbara Iron,2025-05-04,Lithium,15450.11,200799.29,0,93.53,2190327.45
Hunter Coal,2026-02-26,Coal,23239.64,468302.58,0,86.27,3294631.65
Pilbara Iron,2025-08-19,Coal,17112.27,332635.54,0,91.63,2425968.14
Olympic Dam,2025-06-27,Coal,13938.42,313392.08,0,87.71,1976018.55
Hunter Coal,2025-03-04,Lithium,40252.42,338557.44,0,87.92,5706495.31
Greenbushes Lithium,2025-04-26,Coal,45916.37,246411.31,0,94.26,6509460.8
Pilbara Iron,2025-07-10,Iron Ore,21660.45,422842.81,0,97.76,3070753.42
Pilbara Iron,2025-03-03,Copper,38807.55,309314.5,0,90.65,5501659.33
Hunter Coal,2025-09-13,Copper,45364.79,146699.16,0,87.91,6431264.54
Greenbushes Lithium,2025-01-07,Gold,43075.59,151626.05,0,94.08,6106729.79
Greenbushes Lithium,2025-06-04,Gold,13226.6,314743.66,0,97.2,1875105.42
Olympic Dam,2025-04-02,Copper,48033.13,474628.09,0,95.48,6809549.12
Greenbushes Lithium,2025-01-14,Iron Ore,21950.44,223340.85,0,97.16,3111864.65
Greenbushes Lithium,2025-08-17,Lithium,20265.83,447816.47,0,92.51,2873041.27
Greenbushes Lithium,2025-03-27,Lithium,7809.41,405638.23,0,95.53,1107122.54
Kalgoorlie Gold,2025-05-13,Iron Ore,26877.81,199124.98,2,86.96,3810406.85
Olympic Dam,2025-07-02,Lithium,9905.61,114536.3,0,89.88,1404296.12
Pilbara Iron,2026-01-21,Coal,16184.29,140738.91,0,90.45,2294410.5
Hunter Coal,2025-03-03,Copper,19262.42,391397.57,1,92.16,2730790.09
Pilbara Iron,2025-08-07,Copper,41397.18,179867.9,1,98.01,5868785.37
Olympic Dam,2026-02-09,Iron Ore,44396.99,248508.37,0,97.24,6294061.71
Hunter Coal,2025-09-03,Lithium,18610.98,300679.67,0,86.88,2638436.9
Olympic Dam,2025-08-18,Gold,43641.42,390187.27,0,87.42,6186946.24
Greenbushes Lithium,2025-03-20,Gold,43575.39,145292.49,2,90.01,6177585.32
Hunter Coal,2025-05-29,Lithium,39409.29,262546.56,0,89.07,5586966.67
Greenbushes Lithium,2025-05-18,Gold,11601.28,294029.16,0,93.61,1644687.45
Pilbara Iron,2025-11-10,Iron Ore,36064.53,316330.83,0,97.64,5112787.54
Pilbara Iron,2026-01-11,Iron Ore,47526.08,427344.26,0,98.47,6737665.78
Hunter Coal,2026-02-27,Lithium,35714.32,168671.28,0,94.15,5063139.05
Hunter Coal,2026-01-24,Gold,19922.76,423132.58,0,96.73,2824405.01
Olympic Dam,2025-03-06,Iron Ore,27526.07,377151.37,0,92.35,3902309.21
Olympic Dam,2025-01-13,Iron Ore,34057.63,322348.33,0,87.92,4828273.83
Greenbushes Lithium,2025-08-01,Coal,27975.67,379811.15,0,92.35,3966048.0
Hunter Coal,2025-08-30,Coal,10397.88,264807.1,0,92.77,1474084.13
Pilbara Iron,2025-08-01,Iron Ore,19042.88,155359.03,0,95.39,2699666.39
Olympic Dam,2025-06-30,Lithium,41107.82,366306.1,0,88.08,5827763.45
Olympic Dam,2025-12-04,Copper,43763.81,309868.92,0,90.16,6204297.2
Pilbara Iron,2025-06-22,Copper,11178.5,355749.92,0,90.1,1584750.88
Olympic Dam,2025-06-09,Iron Ore,47857.4,235199.51,0,98.43,6784636.27
Greenbushes Lithium,2025-06-13,Iron Ore,19797.02,462746.63,0,91.22,2806579.13
Hunter Coal,2025-07-07,Iron Ore,34804.12,334947.95,0,95.57,4934102.04
Pilbara Iron,2026-01-30,Lithium,38832.13,134160.99,0,95.51,5505143.99
Hunter Coal,2025-07-10,Coal,41537.58,279921.6,0,88.72,5888689.57
Olympic Dam,2026-02-09,Iron Ore,47558.74,402542.42,0,93.01,6742295.92
Olympic Dam,2025-11-04,Iron Ore,19081.38,417653.82,0,97.52,2705124.45
Pilbara Iron,2025-09-13,Gold,43632.79,297838.82,0,91.65,6185722.79
Greenbushes Lithium,2025-07-02,Lithium,10925.91,457899.03,0,98.23,1548941.76
Kalgoorlie Gold,2025-04-27,Iron Ore,36726.84,207067.37,0,88.0,5206681.74
Pilbara Iron,2025-10-09,Gold,38389.0,264239.48,0,86.04,5442322.44
Kalgoorlie Gold,2025-07-15,Copper,35497.55,459438.76,0,97.48,5032408.06
Kalgoorlie Gold,2025-02-03,Iron Ore,16354.16,458502.69,0,96.87,2318492.59
Greenbushes Lithium,2025-02-21,Iron Ore,44286.94,374285.11,0,98.9,6278460.17
Kalgoorlie Gold,2025-04-22,Gold,12598.63,443592.22,0,94.51,1786079.52
Kalgoorlie Gold,2025-09-09,Lithium,7413.57,135509.31,0,98.11,1051005.19
Greenbushes Lithium,2025-03-23,Iron Ore,37285.92,445997.99,0,96.58,5285941.26
